original,simplified,generated,sari,bleu,bert_f1,bert_pre,bert_rec
彼らは凍死した。,彼らは寒くなりすぎて、死んでしまった。,彼らは寒くて死んだ。,91.66666666666666,0.3116039383877759,0.9048112034797668,0.9397739171981812,0.872356653213501
では始めましょう。,では始めましょう。,では始めましょう。,nan,nan,nan,nan,nan
その子供たちは歌いながら去って行った。,その子供たちは歌いながらどこかへ行った。,その子供たちは歌いながら出て行った。,91.66666666666666,0.5928902071159559,0.9240274429321289,0.945746123790741,0.9032838940620422
彼はクラスの他のどの少年よりも速く泳げる。,彼はクラスの他のどの少年よりも速く泳ぐことができる。,彼はクラスの他のどの少年よりも速く泳ぐことができる。,100.0,0.9000876262522594,1.0,1.0,1.0
彼女は私の成功をねたんでいる。,彼女は私の成功を悪く思っている。,彼女は私の成功を見て自分もそうなりたいと思っている。,91.66666666666666,0.5260093017679724,0.8906809091567993,0.8506802916526794,0.9346289038658142
私はこのペンに１００ドルも払った。,私はこのペンに１００ドルも払った。,私はこのペンに１００ドルも払った。,nan,nan,nan,nan,nan
私は記憶力が不足している。,私は記憶力が不足している。,私は記憶力が不足している。,nan,nan,nan,nan,nan
これから先何をすべきか分からない。,これから先何をするべきか分からない。,これから先何をするべきか分からない。,100.0,0.8751733190429475,0.9999998807907104,0.9999998807907104,0.9999998807907104
彼ならそれくらいの事はいいかねない。,彼ならそれくらいの事はいってもおかしくない。,彼ならそれくらいの事はいいだろう。,91.66666666666666,0.4895974181735978,0.886599063873291,0.9173107147216797,0.857877254486084
彼との子供のころから仲良しだ。,彼と子供の頃からの友達だ。,彼との子供の頃から仲がよい。,91.66666666666666,0.3870605144677148,0.8644856214523315,0.8543384075164795,0.874876856803894
あなたの姉さんはピアノが上手ですね。,あなたの姉さんはピアノがうまいですね。,あなたの姉さんはピアノがうまいですね。,100.0,0.8751733190429475,0.9999999403953552,0.9999999403953552,0.9999999403953552
多くの外国人が働くために日本にやって来る。,多くの外国人が働くために日本にやって来る。,多くの外国人が働くために日本にやって来る。,nan,nan,nan,nan,nan
会議の議長が病気になった。,会議の偉い人が病気になった。,会議の一番偉い人が病気になった。,91.66666666666666,0.7487052499824418,0.95940101146698,0.9422301650047302,0.977209210395813
君も一緒に来たいか。,あなたも一緒に来たいか。,あなたも一緒に来たいか。,100.0,0.846481724890614,0.9999998807907104,0.9999998807907104,0.9999998807907104
彼は食物をくれと頼んだ。,彼は食べるものをくれと頼んだ。,彼は食べるものをくれと頼んだ。,100.0,0.8668778997501817,1.0000001192092896,1.0000001192092896,1.0000001192092896
突然彼らは話すのをやめた。,突然彼らは話すのをやめた。,突然彼らは話すのをやめた。,nan,nan,nan,nan,nan
ケーキをどうぞ。,ケーキをどうぞ。,ケーキをどうぞ。,nan,nan,nan,nan,nan
経済はすぐによくなると我々は考えている。,経済はすぐによくなると私たちは考えている。,経済はすぐによくなると私たちは考えている。,100.0,0.8948393168143697,1.0000001192092896,1.0000001192092896,1.0000001192092896
ブラウン家の人々はみんな私に親切でした。,ブラウン家の人々はみんな私に親切でした。,ブラウン家の人々はみんな私に親切でした。,nan,nan,nan,nan,nan
どんな仕事をするのですか。,どんな仕事をするのですか。,どんな仕事をするのですか。,nan,nan,nan,nan,nan
もう一度イギリスを訪れたいと思っている。,もう１度イギリスを訪れたいと思っている。,もう１度イギリスを訪れたいと思っている。,100.0,0.8824969025845955,1.0,1.0,1.0
君が見ているあの絵は１０万円するよ。,あなたが見ているあの絵は１０万円するよ。,あなたが見ているあの絵は１０万円するよ。,100.0,0.8948393168143697,1.0000001192092896,1.0000001192092896,1.0000001192092896
そうとも言えるね。,そうとも言うことができるね。,そうとも言うことができるね。,100.0,0.8574039191604413,1.000000238418579,1.000000238418579,1.000000238418579
あまり酒を飲み過ぎるのは、危険だ。,あまり酒を飲み過ぎるのは、危険だ。,あまり酒を飲み過ぎるのは、危険だ。,nan,nan,nan,nan,nan
私は彼が無実であると思った。,私は彼が犯罪をしていないと思った。,私は彼が悪いことをしていないと思った。,91.66666666666666,0.750693572887501,0.9418583512306213,0.9419203400611877,0.9417963027954102
私は休暇の大部分を叔父の家で過ごした。,私は休みの日の大部分をおじの家で過ごした。,私は休みの大部分をおじの家で過ごした。,91.66666666666666,0.7602316698392207,0.9822745323181152,0.9897663593292236,0.9748953580856323
洋子は来週京都へ行くだろう。,洋子は来週京都へ行くだろう。,洋子は来週京都へ行くだろう。,nan,nan,nan,nan,nan
君にはぼくというよい友達が居る。,あなたには私と言うよい友達が居る。,あなたには私と言うよい友達が居る。,100.0,0.8668778997501817,1.0000001192092896,1.0000001192092896,1.0000001192092896
私は一日中忙しかった。,私は１日中忙しかった。,私は１日中忙しかった。,100.0,0.8337529180751805,1.0000003576278687,1.0000003576278687,1.0000003576278687
君は僕の邪魔をしている。,あなたは僕の邪魔になっている。,あなたは僕の邪魔をしている。,91.66666666666666,0.6065997433337675,0.9764373302459717,0.9764373302459717,0.9764373302459717
次の上演時間は何時からですか。,次の発表時間はいつの時間からですか。,次の劇を見せる時間はいつからですか。,91.66666666666666,0.47415231822240783,0.8517482280731201,0.8453429937362671,0.8582512736320496
何かほかのものを見せてください。,何かほかのものを見せてください。,何かほかのものを見せてください。,nan,nan,nan,nan,nan
７時にね。,７時にね。,７時にね。,nan,nan,nan,nan,nan
そこでは空がとても美しいそうですね。,そこでは空がとても美しいそうですね。,そこでは空がとても美しいそうですね。,nan,nan,nan,nan,nan
トムは昨日歯医者に行くべきだったのに。,トムは昨日歯の医者に行くべきだったのに。,トムは昨日歯医者に行くべきだったのに。,83.33333333333334,0.7342711136314579,0.979600727558136,0.9860341548919678,0.9732506275177002
話を続けなさい。,話を続けなさい。,話を続けなさい。,nan,nan,nan,nan,nan
ビルは私にその本を持ってきてくれた。,ビルは私にその本を持ってきてくれた。,ビルは私にその本を持ってきてくれた。,nan,nan,nan,nan,nan
私はパリ行きの列車に乗った。,私はパリに行く列車に乗った。,私はパリへ行く列車に乗った。,91.66666666666666,0.6783686168526631,0.9941320419311523,0.9941320419311523,0.9941320419311523
外国語を学ぶ最もよい方法は何ですか。,外国語を学ぶ最もよい方法は何ですか。,外国語を学ぶ最もよい方法は何ですか。,nan,nan,nan,nan,nan
僕は本を安く売った。,僕は本を安く売った。,僕は本を安く売った。,nan,nan,nan,nan,nan
昼食をとってから彼は出かけた。,昼食をとってから彼は出かけた。,昼食をとってから彼は出かけた。,nan,nan,nan,nan,nan
涙とともに時は流れる。,涙とともに時は流れる。,涙とともに時は流れる。,nan,nan,nan,nan,nan
外へ出ると寒気がした。,外へ出ると寒い気がした。,外へ出ると寒気がした。,83.33333333333334,0.6043026468442619,0.9640222787857056,0.9719435572624207,0.9562291502952576
彼は私より３歳年上である。,彼は私より３歳年が上である。,彼は私より３歳年が上である。,100.0,0.8751733190429475,0.9999998807907104,0.9999998807907104,0.9999998807907104
私はその家を見に行こうと思う。,私はその家を見に行こうと思う。,私はその家を見に行こうと思う。,nan,nan,nan,nan,nan
フランス語には日本語よりずっと多くの母音がある。,フランス語には日本語よりずっと多くの言語音の最も小さい単位がある。,フランス語には日本語よりずっと多くの鼻の音がある。,91.66666666666666,0.5803749678698173,0.8982523083686829,0.9346389770507812,0.8645926117897034
君はただ彼が来るのを待ちさえすればよい。,あなたはただ彼が来るのを待ちさえすればよい。,あなたはただ彼が来るのを待ちさえすればよい。,100.0,0.8890097654027757,0.9999998807907104,0.9999998807907104,0.9999998807907104
紙飛行機だよ。,紙飛行機だよ。,紙飛行機だよ。,nan,nan,nan,nan,nan
すべては申し分なかった。,全てはすまなかった。,全ては言うことがなかった。,91.66666666666666,0.53107253497887,0.8381192088127136,0.8283249139785767,0.8481479287147522
彼女からの返事は納得できないものだった。,彼女からの返事は賛成できないものだった。,彼女からの返事は意見できないものだった。,91.66666666666666,0.7195483536253187,0.9518675208091736,0.9518675208091736,0.9518675208091736
今朝彼女に何がおきたのですか。,今日の朝彼女に何がお起きたのですか。,今朝彼女に何が起きたのですか。,91.66666666666666,0.49384389463601824,0.9347530603408813,0.9530340433120728,0.9171602129936218
私はいつも彼に服従しなければならない。,私はいつも彼に従わなければならない。,私はいつも彼の意見に賛成しなければならない。,91.66666666666666,0.6272517339014033,0.9112507700920105,0.8868740797042847,0.9370054006576538
そのことを決めるのは君の役目だ。,そのことを決めるのはあなたの役割だ。,そのことを決めるのはあなたの役割だ。,100.0,0.8751733190429475,1.0,1.0,1.0
私はケンに投票した。,私は自分の意見でケンを選んだ。,私はケンに手を挙げた。,91.66666666666666,0.2189399678076203,0.8235845565795898,0.8530858755111694,0.7960554361343384
私はそのものすごく大きな魚に大変驚いた。,私はとても大きな魚に大変驚いた。,私はそのものすごく大きな魚に大変驚いた。,83.33333333333334,0.6774546186626388,0.9209907650947571,0.9059047698974609,0.9365876913070679
弟は英語と音楽に興味を持っている。,弟は英語と音楽に興味を持っている。,弟は英語と音楽に興味を持っている。,nan,nan,nan,nan,nan
私はその問題を考えているところだ。,私はその問題を考えているところだ。,私はその問題を考えているところだ。,nan,nan,nan,nan,nan
この歌は私に懐かしい昔を思い出させる。,この歌は私に心に残った昔を思い出させる。,この歌は私に昔を思い出させる。,91.66666666666666,0.5633940821180058,0.949657678604126,0.9758424162864685,0.9248413443565369
彼は心から彼女を迎えた。,彼は心から彼女を迎えた。,彼は心から彼女を迎えた。,nan,nan,nan,nan,nan
いい友達になれそうですね。,いい友達になることができそうですね。,いい友達になれそうですね。,83.33333333333334,0.48446863480578456,0.9194126725196838,0.9245812892913818,0.9143015146255493
どんなに富んでも彼は決して満足しない。,たくさんお金があっても彼は決して満足しない。,どれだけお金を持っても彼は決して満足しない。,91.66666666666666,0.5537535822374131,0.9074493050575256,0.8952237367630005,0.9200133681297302
彼女は健康その物だ。,彼女は健康その物だ。,彼女は健康その物だ。,nan,nan,nan,nan,nan
その川で泳いではいけません。,その川で泳いではなりません。,その川で泳いではならない。,91.66666666666666,0.5321997734504007,0.8782653212547302,0.8950777053833008,0.862072765827179
彼女は今夕食を食べているところです。,彼女は今、夜の食事を食べているところです。,彼女は今夕食を食べているところです。,83.33333333333334,0.5188816903897316,0.9473156929016113,0.9631280303001404,0.9320142269134521
彼がその試合に負けたのは不思議だ。,彼がその試合に負けたのは不思議だ。,彼がその試合に負けたのは不思議だ。,nan,nan,nan,nan,nan
その絵はそれなりによくできている。,その絵はそれなりによくできている。,その絵はそれなりによくできている。,nan,nan,nan,nan,nan
彼女は私に小声で話した。,彼女は私に小さな声で話した。,彼女は私に小さな声で話した。,100.0,0.8668778997501817,1.0000001192092896,1.0000001192092896,1.0000001192092896
５分ずつ間をおいて。,５分ずつ間をおいて。,５分ずつ間をおいて。,nan,nan,nan,nan,nan
彼女と結婚できるだろう。,彼女と結婚できるだろう。,彼女と結婚できるだろう。,nan,nan,nan,nan,nan
彼は仕事を求めて東京へやってきた。,彼は仕事を求めて東京へやってきた。,彼は仕事を求めて東京へやってきた。,nan,nan,nan,nan,nan
東京にいる間に、彼女を知った。,東京にいる間に、彼女を知った。,東京にいる間に、彼女を知った。,nan,nan,nan,nan,nan
彼はそれを私にただでくれた。,彼はそれを私にお金なしでくれた。,彼はそれを私にお金なしでくれた。,100.0,0.8890097654027757,1.0,1.0,1.0
この機械の優れた点を言ってください。,この機械のよい点を言ってください。,この機械のいい点を言ってください。,91.66666666666666,0.6783686168526631,0.9713926315307617,0.9766508936882019,0.9661906957626343
彼らはこの下の階に住んでいる。,彼らはこの下の階に住んでいる。,彼らはこの下の階に住んでいる。,nan,nan,nan,nan,nan
私は彼のことを頭から信じていない。,私は彼のことを頭から信頼していない。,私は彼のことを頭から信じることはない。,91.66666666666666,0.583797948876449,0.9380138516426086,0.9300780296325684,0.9460862278938293
あれは何ですか。,あれは何ですか。,あれは何ですか。,nan,nan,nan,nan,nan
よくある事だが、トムは授業に遅刻した。,よくある事だが、トムは授業に遅れた。,よくある事だが、トムは授業に遅れた。,100.0,0.8890097654027757,0.9999998807907104,0.9999998807907104,0.9999998807907104
彼はその家が大好きになった。,彼はその家がとても好きになった。,彼はその家がとても好きになった。,100.0,0.8751733190429475,1.000000238418579,1.000000238418579,1.000000238418579
彼はもてる物すべてを失った。,彼は持っている物全てを失った。,彼は使える物全てを失った。,91.66666666666666,0.5595607306983194,0.9629619121551514,0.9629619121551514,0.9629619121551514
